Date,Daily Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased,Confirmed
2020-05-31,8789,4928,91862,222,5406,190649
2020-06-01,7723,3882,95744,201,5607,198372
2020-06-02,8812,4531,100275,222,5829,207187
2020-06-03,9689,3789,104064,259,6088,216876
2020-06-04,9847,4390,108454,274,6362,226723
2020-06-05,9472,4770,113224,286,6648,236195
2020-06-06,10408,5433,118657,297,6945,246603
2020-06-07,10882,5191,123848,261,7206,257485
2020-06-08,8536,5171,129019,271,7477,266021
2020-06-09,9981,5634,134653,272,7749,276002
2020-06-10,11156,6275,140928,358,8107,287158
2020-06-11,11135,6044,146972,394,8501,298293
2020-06-12,11306,7263,154235,388,8889,309599
2020-06-13,12039,8092,162327,309,9198,321638
2020-06-14,11405,7358,169685,324,9522,333043
2020-06-15,10032,10639,180324,396,9918,343075
2020-06-16,11086,7226,187550,2004,11922,354161
2020-06-17,13108,6890,194440,341,12263,367269
2020-06-18,13829,10741,205181,343,12606,381098
2020-06-19,14740,9029,214210,364,12970,395838
2020-06-20,15918,13974,228184,308,13278,411753
2020-06-21,15151,9075,237259,426,13704,426904
2020-06-22,13560,10879,248138,312,14016,440464
2020-06-23,15656,10462,258600,468,14484,456120
2020-06-24,16868,13089,271689,424,14908,472988
2020-06-25,18205,13983,285672,401,15309,491193
2020-06-26,18255,10246,295918,381,15690,509448
2020-06-27,20142,14229,310147,414,16104,529590
2020-06-28,19610,11631,321778,384,16488,549200
2020-06-29,18339,13497,335275,417,16905,567539
2020-06-30,18256,12565,347840,506,17411,585795
2020-07-01,19429,12064,359904,438,17849,605224
2020-07-02,21947,19999,379903,378,18227,627171
2020-07-03,22718,14417,394320,444,18671,649889
2020-07-04,24018,14746,409066,611,19282,673907
2020-07-05,23942,15829,424895,421,19703,697849
2020-07-06,22500,15315,440210,473,20176,720349
2020-07-07,23147,16836,457046,479,20655,743496
2020-07-08,25561,19508,476554,492,21147,769057
2020-07-09,25790,19408,495962,479,21626,794847
2020-07-10,27762,20289,516251,520,22146,822609
2020-07-11,27757,19981,536232,543,22689,850366
2020-07-12,29106,18198,554430,500,23189,879472
2020-07-13,28178,17683,572113,541,23730,907650
2020-07-14,29917,20977,593090,587,24317,937567
2020-07-15,32607,20646,613736,614,24931,970174
2020-07-16,35468,22867,636603,680,25611,1005642
2020-07-17,34820,17476,654079,676,26287,1040462
2020-07-18,37411,23583,677662,543,26830,1077873
2020-07-19,40235,22730,700392,675,27505,1118108
2020-07-20,36806,24303,724695,596,28101,1154914
2020-07-21,39170,27589,752284,671,28772,1194084
2020-07-22,45601,31875,784159,1130,29902,1239685
2020-07-23,48443,33326,817485,755,30657,1288128
2020-07-24,48888,32514,849999,763,31420,1337016
2020-07-25,50072,37125,887124,703,32123,1387088
2020-07-26,48932,31512,918636,704,32827,1436020
2020-07-27,46484,34354,952990,642,33469,1482504
2020-07-28,49631,35683,988673,774,34243,1532135
2020-07-29,52479,32886,1021559,775,35018,1584614
2020-07-30,54750,37425,1058984,783,35801,1639364
